file_name,rows,columns,duplicate_rows,missing_values
01_fund_master.csv,40,15,0,0
02_nav_history.csv,46000,3,0,0
03_aum_by_fund_house.csv,90,5,0,0
04_monthly_sip_inflows.csv,48,6,0,12
05_category_inflows.csv,144,3,0,0
06_industry_folio_count.csv,21,6,0,0
07_scheme_performance.csv,40,19,0,0
08_investor_transactions.csv,32778,13,0,0
09_portfolio_holdings.csv,322,8,0,0
10_benchmark_indices.csv,8050,3,0,0
Axis_Bluechip_live_nav.csv,3572,2,0,0
HDFC_Top100_live_nav.csv,3098,2,0,0
ICICI_Bluechip_live_nav.csv,3314,2,0,0
Kotak_Bluechip_live_nav.csv,3308,2,0,0
Nippon_LargeCap_live_nav.csv,3305,2,0,0
SBI_Bluechip_live_nav.csv,3243,2,0,0
