amfi_code,scheme_name,benchmark,tracking_error_pct,observations
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY50,19.181716772265766,785
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY100,18.78671687605318,785
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY50,22.83105562739057,785
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY100,23.251471203241874,785
120843,Kotak Flexicap Fund - Regular - Growth,NIFTY50,20.49464661231591,785
120843,Kotak Flexicap Fund - Regular - Growth,NIFTY100,20.641014797016712,785
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY50,22.808080980197012,785
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY100,22.48381948021591,785
120504,ICICI Pru Bluechip Fund - Direct - Growth,NIFTY50,18.83596756749526,785
120504,ICICI Pru Bluechip Fund - Direct - Growth,NIFTY100,18.7311724388253,785
