amfi_code,scheme_name,fund_house,alpha,beta,r_squared,benchmark
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,0.3033696538698332,-0.023196062044059697,0.00014142575502721716,BSE 250 SmallCap TRI
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,0.3005787817097677,0.011455159960520734,3.532990626795579e-05,BSE 250 SmallCap TRI
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,0.2926358334175106,0.000549004250631717,1.3455341675669093e-07,NIFTY Midcap 150 TRI
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,0.2827036785246582,0.01813388408385922,0.00017488886568129514,NIFTY 500 TRI
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,0.27330465038306057,-0.022829569792426556,0.0003430543427151453,NIFTY 500 TRI
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,0.2719535450128533,0.00510352583052832,1.2066520635068217e-05,NIFTY Midcap 150 TRI
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,0.2698375144191807,0.02368355807584862,0.00046254369066238454,NIFTY 100 TRI
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,0.26598577542043045,-0.002523004664699254,3.3579781920088773e-06,NIFTY Midcap 150 TRI
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,0.2607666908004223,-0.06626542862803757,0.001936878936960232,NIFTY Midcap 50 TRI
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,0.23201007160635082,-0.03175144113890971,0.0008869788879322805,NIFTY 100 TRI
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,0.21829397904608644,-0.008353832126962012,5.791756270127821e-05,NIFTY 100 TRI
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,0.21399784776051212,0.021086316250128027,0.00034804820307142496,NIFTY 100 TRI
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,0.2119482701352573,0.016232169761417007,0.00021216129075887457,NIFTY 100 TRI
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,0.20873010086942337,-0.02638771994384301,0.00048592647527973177,NIFTY Large Midcap 250 TRI
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,0.1986859936686296,-0.026159307513513405,0.0005850821704543428,NIFTY 100 TRI
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,0.17729754927531766,0.0488204042595774,0.0018401792783071592,NIFTY 100 TRI
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,0.17703302365844073,-0.0402689523698206,0.001397444608331861,NIFTY 100 TRI
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,0.1750072167561127,0.10349663691337589,0.0027930065610663247,BSE 250 SmallCap TRI
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,0.17048756803412696,-0.019486785689474533,0.00038285030730923845,NIFTY 50 TRI
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,0.1625385327998104,0.04189646272811977,0.0012571178108220743,NIFTY 500 TRI
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,0.16211256794033255,0.01668268943777081,0.00018619166432850138,NIFTY 500 TRI
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,0.1564383594816967,-0.036639006718609375,0.0011382947171084295,NIFTY 100 TRI
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,0.1513635464823924,-0.0014335213897801165,2.0253408972327968e-06,NIFTY 50 TRI
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,0.13173190226099432,-0.004050271130006522,1.322760788085039e-05,NIFTY 100 TRI
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,0.13042924450705445,0.0363563990221998,0.0012113711061211873,NIFTY 100 TRI
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.11989100971217971,0.009054412621739151,4.0437465536342426e-05,NIFTY Midcap 150 TRI
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,0.10897091901704538,-0.06528924788351524,0.0010641052735572622,BSE 250 SmallCap TRI
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.08232801295222093,0.025883212440093156,0.0005692038090244875,NIFTY 100 TRI
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,0.0780443887615508,0.01805687420811815,0.00016915548838314346,NIFTY Midcap 150 TRI
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.0689952982167755,0.009730745001153633,8.08263769381077e-05,NIFTY 100 TRI
